Tên tỉnh cũ,Mã TP cũ,Tên QH cũ,Tên PX cũ,Mã QH cũ,Mã PX cũ,Tên PX mới,Mã PX mới,Độ khớp
Thành phố Hà Nội,1,Quận Ba Đình,Phường Phúc Xá,1,1,Phường Ngọc Hà,10101004,"64,28571429"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Trúc Bạch,1,4,Phường Ba Đình,10101003,60
Thành phố Hà Nội,1,Quận Ba Đình,Phường Vĩnh Phúc,1,6,Phường Ba Đình,10101003,"63,33333333"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Cống Vị,1,7,Phường Giảng Võ,10101005,"75,86206897"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Liễu Giai,1,8,Phường Giảng Võ,10101005,"61,29032258"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Nguyễn Trung Trực,1,10,Phường Ba Đình,10101003,"85,5"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Quán Thánh,1,13,Phường Ba Đình,10101003,"64,51612903"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Ngọc Hà,1,16,Phường Ngọc Hà,10101004,100
Thành phố Hà Nội,1,Quận Ba Đình,Phường Điện Biên,1,19,Phường Ba Đình,10101003,"69,66666667"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Đội Cấn,1,22,Phường Ba Đình,10101003,"64,28571429"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Ngọc Khánh,1,25,Phường Ngọc Hà,10101004,"83,6"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Kim Mã,1,28,Phường Giảng Võ,10101005,"64,28571429"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Giảng Võ,1,31,Phường Giảng Võ,10101005,100
Thành phố Hà Nội,1,Quận Ba Đình,Phường Thành Công,1,34,Phường Ba Đình,10101003,"61,29032258"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Phúc Tân,2,37,Phường Cửa Nam,10105002,57
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Đồng Xuân,2,40,Phường Cửa Nam,10105002,57
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Mã,2,43,Phường Hoàn Kiếm,10105001,"73,33333333"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Buồm,2,46,Phường Hoàn Kiếm,10105001,75
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Đào,2,49,Phường Hoàn Kiếm,10105001,"70,96774194"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Bồ,2,52,Phường Hoàn Kiếm,10105001,"73,33333333"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Cửa Đông,2,55,Phường Cửa Nam,10105002,"79,16666667"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Lý Thái Tổ,2,58,Phường Cửa Nam,10105002,57
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Bạc,2,61,Phường Hoàn Kiếm,10105001,"70,96774194"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Gai,2,64,Phường Hoàn Kiếm,10105001,"77,41935484"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Chương Dương,2,67,Phường Cửa Nam,10105002,57
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Trống,2,70,Phường Hoàn Kiếm,10105001,"66,66666667"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Cửa Nam,2,73,Phường Cửa Nam,10105002,100
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Bông,2,76,Phường Hoàn Kiếm,10105001,"68,75"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Tràng Tiền,2,79,Phường Hoàn Kiếm,10105001,"66,66666667"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Trần Hưng Đạo,2,82,Phường Cửa Nam,10105002,57
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Phan Chu Trinh,2,85,Phường Cửa Nam,10105002,"85,5"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Bài,2,88,Phường Hoàn Kiếm,10105001,"77,41935484"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Phú Thượng,3,91,Phường Hồng Hà,10103014,"61,29032258"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Nhật Tân,3,94,Phường Tây Hồ,10103028,"67,85714286"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Tứ Liên,3,97,Phường Tây Hồ,10103028,"66,66666667"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Quảng An,3,100,Phường Hồng Hà,10103014,"68,96551724"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Xuân La,3,103,Phường Tây Hồ,10103028,"66,66666667"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Yên Phụ,3,106,Phường Hồng Hà,10103014,"64,28571429"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Bưởi,3,109,Phường Hồng Hà,10103014,"67,05882353"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Thụy Khuê,3,112,Phường Tây Hồ,10103028,"68,96551724"
Thành phố Hà Nội,1,Quận Long Biên,Phường Thượng Thanh,4,115,Phường Bồ Đề,10106040,"85,5"
Thành phố Hà Nội,1,Quận Long Biên,Phường Ngọc Thụy,4,118,Phường Bồ Đề,10106040,"63,33333333"
Thành phố Hà Nội,1,Quận Long Biên,Phường Giang Biên,4,121,Phường Long Biên,10106039,"84,84848485"
Thành phố Hà Nội,1,Quận Long Biên,Phường Đức Giang,4,124,Phường Phúc Lợi,10106042,"64,51612903"
Thành phố Hà Nội,1,Quận Long Biên,Phường Việt Hưng,4,127,Phường Việt Hưng,10106041,100
Thành phố Hà Nội,1,Quận Long Biên,Phường Gia Thụy,4,130,Phường Bồ Đề,10106040,"63,33333333"
Thành phố Hà Nội,1,Quận Long Biên,Phường Ngọc Lâm,4,133,Phường Phúc Lợi,10106042,"66,66666667"
Thành phố Hà Nội,1,Quận Long Biên,Phường Phúc Lợi,4,136,Phường Phúc Lợi,10106042,100
Thành phố Hà Nội,1,Quận Long Biên,Phường Bồ Đề,4,139,Phường Bồ Đề,10106040,100
Thành phố Hà Nội,1,Quận Long Biên,Phường Sài Đồng,4,142,Phường Việt Hưng,10106041,"70,96774194"
Thành phố Hà Nội,1,Quận Long Biên,Phường Long Biên,4,145,Phường Long Biên,10106039,100
Thành phố Hà Nội,1,Quận Long Biên,Phường Thạch Bàn,4,148,Phường Phúc Lợi,10106042,"64,51612903"
Thành phố Hà Nội,1,Quận Long Biên,Phường Phúc Đồng,4,151,Phường Phúc Lợi,10106042,"80,38461538"
Thành phố Hà Nội,1,Quận Long Biên,Phường Cự Khối,4,154,Phường Bồ Đề,10106040,"63,33333333"
Thành phố Hà Nội,1,Quận Cầu Giấy,Phường Nghĩa Đô,5,157,Phường Nghĩa Đô,10113026,100
Thành phố Hà Nội,1,Quận Cầu Giấy,Phường Nghĩa Tân,5,160,Phường Nghĩa Đô,10113026,"84,44444444"
Thành phố Hà Nội,1,Quận Cầu Giấy,Phường Mai Dịch,5,163,Phường Nghĩa Đô,10113026,60
Thành phố Hà Nội,1,Quận Cầu Giấy,Phường Dịch Vọng,5,166,Phường Nghĩa Đô,10113026,"58,06451613"
Thành phố Hà Nội,1,Quận Cầu Giấy,Phường Dịch Vọng Hậu,5,167,Phường Yên Hoà,10113027,"58,82352941"
Thành phố Hà Nội,1,Quận Cầu Giấy,Phường Quan Hoa,5,169,Phường Yên Hoà,10113027,"75,86206897"
Thành phố Hà Nội,1,Quận Cầu Giấy,Phường Yên Hoà,5,172,Phường Yên Hoà,10113027,100
Thành phố Hà Nội,1,Quận Cầu Giấy,Phường Trung Hoà,5,175,Phường Yên Hoà,10113027,80
Thành phố Hà Nội,1,Quận Đống Đa,Phường Cát Linh,6,178,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Văn Miếu,6,181,Phường Văn Miếu - Quốc Tử Giám,10109011,90
Thành phố Hà Nội,1,Quận Đống Đa,Phường Quốc Tử Giám,6,184,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Láng Thượng,6,187,Phường Láng,10109012,90
Thành phố Hà Nội,1,Quận Đống Đa,Phường Ô Chợ Dừa,6,190,Phường Ô Chợ Dừa,10109013,100
Thành phố Hà Nội,1,Quận Đống Đa,Phường Văn Chương,6,193,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Hàng Bột,6,196,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Láng Hạ,6,199,Phường Láng,10109012,95
Thành phố Hà Nội,1,Quận Đống Đa,Phường Khâm Thiên,6,202,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Thổ Quan,6,205,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Nam Đồng,6,208,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Trung Phụng,6,211,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Quang Trung,6,214,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Trung Liệt,6,217,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Phương Liên,6,220,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Thịnh Quang,6,223,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Trung Tự,6,226,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Kim Liên,6,229,Phường Kim Liên,10109010,100
Thành phố Hà Nội,1,Quận Đống Đa,Phường Phương Mai,6,232,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Ngã Tư Sở,6,235,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Đống Đa,Phường Khương Thượng,6,238,Phường Văn Miếu - Quốc Tử Giám,10109011,"85,5"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Nguyễn Du,7,241,Phường Vĩnh Tuy,10107007,"64,51612903"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Bạch Đằng,7,244,Phường Bạch Mai,10107008,"80,38461538"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Phạm Đình Hổ,7,247,Phường Vĩnh Tuy,10107007,"58,82352941"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Lê Đại Hành,7,256,Phường Hai Bà Trưng,10107006,"59,45945946"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Đồng Nhân,7,259,Phường Vĩnh Tuy,10107007,"58,06451613"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Phố Huế,7,262,Phường Vĩnh Tuy,10107007,"68,96551724"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Đống Mác,7,265,Phường Vĩnh Tuy,10107007,60
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Thanh Lương,7,268,Phường Hai Bà Trưng,10107006,"64,86486486"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Thanh Nhàn,7,271,Phường Vĩnh Tuy,10107007,"62,5"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Cầu Dền,7,274,Phường Vĩnh Tuy,10107007,"65,51724138"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Bách Khoa,7,277,Phường Bạch Mai,10107008,"77,41935484"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Đồng Tâm,7,280,Phường Vĩnh Tuy,10107007,"66,66666667"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Vĩnh Tuy,7,283,Phường Vĩnh Tuy,10107007,100
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Bạch Mai,7,286,Phường Bạch Mai,10107008,100
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Quỳnh Mai,7,289,Phường Bạch Mai,10107008,"77,41935484"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Quỳnh Lôi,7,292,Phường Vĩnh Tuy,10107007,"64,51612903"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Minh Khai,7,295,Phường Bạch Mai,10107008,"70,96774194"
Thành phố Hà Nội,1,Quận Hai Bà Trưng,Phường Trương Định,7,298,Phường Hai Bà Trưng,10107006,"64,86486486"
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Thanh Trì,8,301,Phường Lĩnh Nam,10108015,"64,51612903"
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Vĩnh Hưng,8,304,Phường Vĩnh Hưng,10108017,100
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Định Công,8,307,Phường Định Công,10108019,100
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Mai Động,8,310,Phường Hoàng Mai,10108016,"79,67741935"
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Tương Mai,8,313,Phường Tương Mai,10108018,100
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Đại Kim,8,316,Phường Lĩnh Nam,10108015,"62,06896552"
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Tân Mai,8,319,Phường Tương Mai,10108018,"86,66666667"
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Hoàng Văn Thụ,8,322,Phường Yên Sở,10108021,"85,5"
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Giáp Bát,8,325,Phường Yên Sở,10108021,60
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Lĩnh Nam,8,328,Phường Lĩnh Nam,10108015,100
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Thịnh Liệt,8,331,Phường Tương Mai,10108018,"66,66666667"
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Trần Phú,8,334,Phường Tương Mai,10108018,"64,51612903"
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Hoàng Liệt,8,337,Phường Hoàng Mai,10108016,"84,84848485"
Thành phố Hà Nội,1,Quận Hoàng Mai,Phường Yên Sở,8,340,Phường Yên Sở,10108021,100
Thành phố Hà Nội,1,Quận Thanh Xuân,Phường Nhân Chính,9,343,Phường Thanh Xuân,10111022,"72,64705882"
Thành phố Hà Nội,1,Quận Thanh Xuân,Phường Thượng Đình,9,346,Phường Khương Đình,10111023,"88,88888889"
Thành phố Hà Nội,1,Quận Thanh Xuân,Phường Khương Trung,9,349,Phường Khương Đình,10111023,"81,08108108"
Thành phố Hà Nội,1,Quận Thanh Xuân,Phường Khương Mai,9,352,Phường Khương Đình,10111023,"82,33333333"
Thành phố Hà Nội,1,Quận Thanh Xuân,Phường Thanh Xuân Trung,9,355,Phường Thanh Xuân,10111022,95
Thành phố Hà Nội,1,Quận Thanh Xuân,Phường Phương Liệt,9,358,Phường Phương Liệt,10111024,100
Thành phố Hà Nội,1,Quận Thanh Xuân,Phường Hạ Đình,9,361,Phường Khương Đình,10111023,"83,6"
Thành phố Hà Nội,1,Quận Thanh Xuân,Phường Khương Đình,9,364,Phường Khương Đình,10111023,100
Thành phố Hà Nội,1,Quận Thanh Xuân,Phường Thanh Xuân Bắc,9,367,Phường Thanh Xuân,10111022,95
Thành phố Hà Nội,1,Quận Thanh Xuân,Phường Thanh Xuân Nam,9,370,Phường Thanh Xuân,10111022,95
Thành phố Hà Nội,1,Quận Thanh Xuân,Phường Kim Giang,9,373,Phường Khương Đình,10111023,"58,82352941"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Thị trấn Sóc Sơn,16,376,Xã Sóc Sơn,10115122,"85,5"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Bắc Sơn,16,379,Xã Sóc Sơn,10115122,80
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Minh Trí,16,382,Xã Trung Giã,10115125,"57,82608696"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Hồng Kỳ,16,385,Xã Kim Anh,10115126,57
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Nam Sơn,16,388,Xã Sóc Sơn,10115122,"71,25"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Trung Giã,16,391,Xã Trung Giã,10115125,100
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Tân Hưng,16,394,Xã Trung Giã,10115125,"52,17391304"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Minh Phú,16,397,Xã Đa Phúc,10115123,"66,66666667"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Phù Linh,16,400,Xã Kim Anh,10115126,"57,14285714"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Bắc Phú,16,403,Xã Đa Phúc,10115123,70
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Tân Minh,16,406,Xã Trung Giã,10115125,"60,86956522"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Quang Tiến,16,409,Xã Trung Giã,10115125,64
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Hiền Ninh,16,412,Xã Kim Anh,10115126,"63,63636364"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Tân Dân,16,415,Xã Trung Giã,10115125,"54,54545455"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Tiên Dược,16,418,Xã Sóc Sơn,10115122,"51,81818182"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Việt Long,16,421,Xã Kim Anh,10115126,"54,54545455"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Xuân Giang,16,424,Xã Trung Giã,10115125,64
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Mai Đình,16,427,Xã Kim Anh,10115126,"66,66666667"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Đức Hoà,16,430,Xã Sóc Sơn,10115122,50
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Thanh Xuân,16,433,Xã Kim Anh,10115126,"49,56521739"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Đông Xuân,16,436,Xã Trung Giã,10115125,50
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Kim Lũ,16,439,Xã Kim Anh,10115126,76
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Phú Cường,16,442,Xã Đa Phúc,10115123,"54,54545455"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Phú Minh,16,445,Xã Đa Phúc,10115123,"57,14285714"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Phù Lỗ,16,448,Xã Đa Phúc,10115123,"52,63157895"
Thành phố Hà Nội,1,Huyện Sóc Sơn,Xã Xuân Thu,16,451,Xã Trung Giã,10115125,"52,17391304"
Thành phố Hà Nội,1,Huyện Đông Anh,Thị trấn Đông Anh,17,454,Xã Đông Anh,10117114,"85,5"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Xuân Nộn,17,457,Xã Đông Anh,10117114,"54,54545455"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Thuỵ Lâm,17,460,Xã Thư Lâm,10117113,"85,71428571"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Bắc Hồng,17,463,Xã Đông Anh,10117114,"51,81818182"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Nguyên Khê,17,466,Xã Đông Anh,10117114,50
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Nam Hồng,17,469,Xã Đông Anh,10117114,"45,45454545"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Tiên Dương,17,472,Xã Thiên Lộc,10117116,64
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Vân Hà,17,475,Xã Vĩnh Thanh,10117117,"54,54545455"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Uy Nỗ,17,478,Xã Phúc Thịnh,10117115,"85,5"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Vân Nội,17,481,Xã Thiên Lộc,10117116,"54,54545455"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Liên Hà,17,484,Xã Thiên Lộc,10117116,"63,63636364"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Việt Hùng,17,487,Xã Vĩnh Thanh,10117117,48
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Kim Nỗ,17,490,Xã Thư Lâm,10117113,50
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Kim Chung,17,493,Xã Đông Anh,10117114,"49,56521739"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Dục Tú,17,496,Xã Phúc Thịnh,10117115,"54,54545455"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Đại Mạch,17,499,Xã Đông Anh,10117114,"54,54545455"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Vĩnh Ngọc,17,502,Xã Vĩnh Thanh,10117117,70
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Cổ Loa,17,505,Xã Thư Lâm,10117113,"52,63157895"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Hải Bối,17,508,Xã Thiên Lộc,10117116,"45,45454545"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Xuân Canh,17,511,Xã Vĩnh Thanh,10117117,64
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Võng La,17,514,Xã Vĩnh Thanh,10117117,"60,86956522"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Tàm Xá,17,517,Xã Thư Lâm,10117113,"52,63157895"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Mai Lâm,17,520,Xã Thư Lâm,10117113,"71,25"
Thành phố Hà Nội,1,Huyện Đông Anh,Xã Đông Hội,17,523,Xã Đông Anh,10117114,"73,88888889"
Thành phố Hà Nội,1,Huyện Gia Lâm,Thị trấn Yên Viên,18,526,Xã Thuận An,10119110,"37,89473684"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Yên Thường,18,529,Xã Bát Tràng,10119111,56
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Yên Viên,18,532,Xã Thuận An,10119110,"54,54545455"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Ninh Hiệp,18,535,Xã Gia Lâm,10119109,"45,45454545"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Đình Xuyên,18,538,Xã Thuận An,10119110,50
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Dương Hà,18,541,Xã Thuận An,10119110,"45,45454545"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Phù Đổng,18,544,Xã Phù Đổng,10119112,100
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Trung Mầu,18,547,Xã Bát Tràng,10119111,"63,33333333"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Lệ Chi,18,550,Xã Gia Lâm,10119109,60
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Cổ Bi,18,553,Xã Bát Tràng,10119111,"85,5"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Đặng Xá,18,556,Xã Phù Đổng,10119112,"63,33333333"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Phú Thị,18,559,Xã Phù Đổng,10119112,"57,14285714"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Kim Sơn,18,562,Xã Gia Lâm,10119109,50
Thành phố Hà Nội,1,Huyện Gia Lâm,Thị trấn Trâu Quỳ,18,565,Xã Thuận An,10119110,"38,86363636"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Dương Quang,18,568,Xã Thuận An,10119110,"53,2"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Dương Xá,18,571,Xã Thuận An,10119110,"45,45454545"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Đông Dư,18,574,Xã Phù Đổng,10119112,"63,33333333"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Đa Tốn,18,577,Xã Bát Tràng,10119111,"57,14285714"
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Kiêu Kỵ,18,580,Xã Gia Lâm,10119109,50
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Bát Tràng,18,583,Xã Bát Tràng,10119111,100
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Kim Lan,18,586,Xã Gia Lâm,10119109,60
Thành phố Hà Nội,1,Huyện Gia Lâm,Xã Văn Đức,18,589,Xã Thuận An,10119110,"47,61904762"
Thành phố Hà Nội,1,Quận Nam Từ Liêm,Phường Cầu Diễn,19,592,Phường Từ Liêm,10155035,"62,06896552"
Thành phố Hà Nội,1,Quận Nam Từ Liêm,Phường Xuân Phương,19,622,Phường Xuân Phương,10155036,100
Thành phố Hà Nội,1,Quận Nam Từ Liêm,Phường Phương Canh,19,623,Phường Xuân Phương,10155036,"79,67741935"
Thành phố Hà Nội,1,Quận Nam Từ Liêm,Phường Mỹ Đình 1,19,625,Phường Đại Mỗ,10155038,"65,51724138"
Thành phố Hà Nội,1,Quận Nam Từ Liêm,Phường Mỹ Đình 2,19,626,Phường Đại Mỗ,10155038,"65,51724138"
Thành phố Hà Nội,1,Quận Nam Từ Liêm,Phường Tây Mỗ,19,628,Phường Tây Mỗ,10155037,100
Thành phố Hà Nội,1,Quận Nam Từ Liêm,Phường Mễ Trì,19,631,Phường Tây Mỗ,10155037,"73,07692308"
Thành phố Hà Nội,1,Quận Nam Từ Liêm,Phường Phú Đô,19,632,Phường Đại Mỗ,10155038,"65,76923077"
Thành phố Hà Nội,1,Quận Nam Từ Liêm,Phường Đại Mỗ,19,634,Phường Đại Mỗ,10155038,100
Thành phố Hà Nội,1,Quận Nam Từ Liêm,Phường Trung Văn,19,637,Phường Xuân Phương,10155036,"64,70588235"
Thành phố Hà Nội,1,Huyện Thanh Trì,Thị trấn Văn Điển,20,640,Xã Đại Thanh,10123049,"45,86206897"
Thành phố Hà Nội,1,Huyện Thanh Trì,Xã Tân Triều,20,643,Xã Thanh Trì,10123048,"66,66666667"
Thành phố Hà Nội,1,Huyện Thanh Trì,Xã Thanh Liệt,20,646,Phường Thanh Liệt,10123052,"82,60869565"
Thành phố Hà Nội,1,Huyện Thanh Trì,Xã Tả Thanh Oai,20,649,Xã Nam Phù,10123050,"85,5"
Thành phố Hà Nội,1,Huyện Thanh Trì,Xã Hữu Hoà,20,652,Xã Ngọc Hồi,10123051,"47,61904762"
Thành phố Hà Nội,1,Huyện Thanh Trì,Xã Tam Hiệp,20,655,Xã Nam Phù,10123050,"57,14285714"
Thành phố Hà Nội,1,Huyện Thanh Trì,Xã Tứ Hiệp,20,658,Xã Ngọc Hồi,10123051,"57,14285714"
Thành phố Hà Nội,1,Huyện Thanh Trì,Xã Yên Mỹ,20,661,Xã Thanh Trì,10123048,"47,61904762"
Thành phố Hà Nội,1,Huyện Thanh Trì,Xã Vĩnh Quỳnh,20,664,Xã Thanh Trì,10123048,48
Thành phố Hà Nội,1,Huyện Thanh Trì,Xã Ngũ Hiệp,20,667,Xã Ngọc Hồi,10123051,"72,72727273"
Thành phố Hà Nội,1,Huyện Thanh Trì,Xã Duyên Hà,20,670,Xã Ngọc Hồi,10123051,"45,45454545"
